Topic,Count,Name,Representation,Representative_Docs
9,57,9_lula_inss_do_governo,"['lula', 'inss', 'do', 'governo', 'de', 'que', 'irmão', 'corrupção', 'aposentados', 'mais']","['se não fosse um governo do pt ia achar que era impossível uma coisa dessas mais de r bilhões em fraudes cadeia para mais esse petista o governo lula nunca falha tem sempre um esquema onde tem pt tem corrupção os caras não se cansam de roubar o dinheiro público e a', 'irmão de lula o cupincha de sindicato roubou r bilhões dos aposentados e pensionistas do inss irmão de lula roubou aposentados e pensionistas do inss', 'irmão do lula é do sindicato que roubou os aposentados do inss']"
10,51,10_brasil_do_de_que,"['brasil', 'do', 'de', 'que', 'lula', 'um', 'no', 'uma', 'na', 'parar']","['o que miriam leitão quer explicar aqui é a mesma coisa de uma militante política do partido comunista do brasil pcdob que era clandestina na época do regime militar incentivar um golpe de estado por parte dos comunistas prejudicial à segurança nacional na', 'a guerra contra a masculinidade no brasil o caso envolvendo cauã reymond é mais do que uma polêmica de bastidores é um retrato fiel da cruzada ideológica contra a masculinidade no brasil um ator reconhecido experiente pai de família defensor de valores sólidos agora', 'urgente deputado nikolas ferreira diz que temos que parar o lula ou ele vai parar o brasil digo e repito temos que parar o lula senão ele vai parar o brasil']"
11,45,11_अब_समय_और_जब,"['अब', 'समय', 'और', 'जब', 'कर', 'इन', 'आज', 'पर', 'कल', 'तब']","['अब समय आ', 'अब समय आ', 'अब समय आ']"
12,44,12_कर_इस_गए_यह,"['कर', 'इस', 'गए', 'यह', 'मत', 'तरह', 'नर', 'सर', 'इन', 'कह']","['गए इस', 'इस यह गए', 'गए कर']"
13,40,13_bir_ve_gibi_yakışıyor,"['bir', 've', 'gibi', 'yakışıyor', 'bu', 'siz', 'ne', 'aile', 'baba', 'ya']","['gazze de çöp yığınlarının arasında aklını yitirmiş bir kız çocuğu ailesini yok etti hayallerini geleceğini vatanını çaldı minicik aklı ve yüreği kaldıramamış olacak ki derin bir sükuta boğulmuş bir başka mazlum gazzeli de çekip duygusuz dünyaya sunmuş', 'bakışa bak ağıza bak amk ne başörtü yakışıyor ne annelik yakışıyor ne eş olmak yakışıyor ne ev kadını olmak yakışıyor ne rol kesmek yakışıyor bir insana hiçbir şey yakışmaz mı ya', 'bir babanın evladını kolsuz bacaksız gömmesine herhalde herkes çok alıştı soykırımın legalleştiği bir dünyada yaşıyoruz ve artık bu kimseyi de rahatsız etmiyor herkes bunu normalleştirdi herkes hiçbir şey yokmuş gibi hayatına devam ediyor ahir zaman oyuncu mert']"
14,39,14_pope_francis_the_funeral,"['pope', 'francis', 'the', 'funeral', 'church', 'papa', 'vatican', 'of', 'le', 'as']","['pope dead after shaking hand pope francis died a few hours after shaking jd hand inside sources report the faint smell of sulfur during the trump regime us delegation visit', 'the time is here the has made himself known and has message for christians after the death of the pope i am the legitimate pope there is no one else but me that you are obliged to obey the ahmadi religion of peace and light is a new', 'bombshell breaking prophecy activated pope francis dead hours after meeting vp vance klaus schwab resigns from wef on same day the globalist system is collapsing as ancient vatican prophecy warns of final pope before return in keep reading']"
15,37,15_ukraine_russia_ukrainian_russian,"['ukraine', 'russia', 'ukrainian', 'russian', 'the', 'putin', 'and', 'ukrainians', 'about', 'of']","['the us and putin are now meeting in moscow to try to establish peace with ukraine president trump s envoy witcoff has arrived unfortunately zelensky has made it clear he s only interested in war that s why the us needs to walk away from ukraine', 'ukraine biden cia son was fighting alongside russian forces in ukraine to eliminate nazi elements of the ukrainian military he was killed last year but the news was only reported today', 'so ukraine must forget about nato ukraine must recognize russian occupation russia will get ukrainian territories and sanctions lifted and extensive economic cooperation with the u s russia gives nothing in return and even promise never to invade ukraine again']"
16,35,16_جنگ_guerre_allahu_ve,"['جنگ', 'guerre', 'allahu', 've', 'war', 'ekber', 'une', 'ça', 'savaşı', 'sera']","['allahu ekber allahu ekber son dakika yaşanan çatışmalarda çok sayıda siyonist asker geberdi ve yaralandı', 'allahu ekber allahu ekber son dakika yaşanan çatışmalarda en az siyonist asker geberdi ve yaralandı', 'ça ne sera pas une guerre civile comme on l entend souvent ça sera juste une guerre une guerre civile c est entre gens d un même peuple or ça fait des décennies que nous avons en france plusieurs peuples ça sera donc une guerre classique entre des peuples haineux et']"
17,34,17_हम_घर_कर_गई,"['हम', 'घर', 'कर', 'गई', 'जय', 'अब', 'उस', 'headed', 'शरण', 'coming']","['हम', 'गई हम इन घर कर जय', 'गई हम इन घर कर']"
18,30,18_bakalım_sık_polis_ankara,"['bakalım', 'sık', 'polis', 'ankara', 'da', 'polislere', 'chp', 'bu', 'bir', 'polisi']","['sözde üniversite öğrencileri polisimize sık bakalım biber gazı sık bakalım kaskını çıkar copunu bırak delikanlı kim bakalım dedikten kısa bir süre sonra polisimiz müdahale etti', 'üniversiteliler polise sık bakalım sık bakalım biber gazı sık bakalım kaskını çıkar copunu bırak delikanlı kim bakalım diyerek yanıt veriyor', 'üniversite öğrencileri polise sık bakalım sık bakalım biber gazı sık bakalım kaskını çıkar copunu bırak delikanlı kim bakalım']"
19,30,19_और_एक_पर_तक,"['और', 'एक', 'पर', 'तक', 'इस', 'कर', 'आप', 'यह', 'बच', 'हक']","['और', 'और', 'एक और']"
20,29,20_vaccines_covid_dr_experimental,"['vaccines', 'covid', 'dr', 'experimental', 'and', 'the', 'rfk', 'to', 'jr', 'autism']","['the truth isn t a theory anymore it s a reckoning rfk jr the who bill gates and covid vaccines it s beyond criminal in just seconds rfk jr connects the dots covid wasn t just a pandemic it was a power grab the who took control', 'turbo cancer the that contaminated polio vaccines is the same found in covid vaccines dr jack kruse neurosurgeon this is a bioweapons program that spans years we have killed more people in the last years than we did in any world war been involved', 'to everyone in dod that coerced another into an experimental jab subject lawyer up for nuremberg we all know that the previous administration issued unlawful orders on mandatory vaccines on an experimental basis vaccine covid you know it we know it']"
21,28,21_gören_yazsın_yoruma_herkes,"['gören', 'yazsın', 'yoruma', 'herkes', 'gündemini', 'dünya', 'bugün', 'sallayacağız', 'tweeti', 'bu']","['bu tweeti gören herkes yoruma yazsın bugün dünya gündemini sallayacağız', 'bu tweeti gören herkes yoruma yazsın bugün dünya gündemini sallayacağız', 'bu tweeti gören herkes yoruma yazsın bugün dünya gündemini sallayacağız']"
22,25,22_chega_trans_de_more,"['chega', 'trans', 'de', 'more', 'women', 'mulheres', 'men', 'eua', 'woke', 'gay']","['forcing trans women to use male only spaces will cause distress how do you think my old daughter felt when a tall man named veronica walked into her female only changing room while she was undressing men stop asking women and girls to be human shields', 'eua chega de engenharia social chega de adoração às mudanças climáticas chega de tanques elétricos chega de confusão de gênero chega de pronomes chega de desculpas chega de cotas chega de besteira woke secretario de defesa dos eua pete hegseth', 'histórico o secretario de defesa dos eua pete hegseth chega de engenharia social chega de adoração às mudanças climáticas chega de tanques elétricos chega de confusão de gênero chega de pronomes chega de desculpas chega de cotas chega de besteira de woke que']"
23,25,23_keskin_video_kassam_nişancı,"['keskin', 'video', 'kassam', 'nişancı', 'yeni', 'tugayları', 'yayınladı', 'of', 'enemy', 'rifle']","['kassam tugayları iki gün önce beyt doğusunda askerlerini hedef aldıkları yeni keskin nişancı görüntülerini yayınladı', 'kassam yeni video askerleri keskin nişancı atışlarıyla hedef alındı kassam tugayları askerlerine yönelik keskin nişancı saldırılarını gösteren yeni bir video yayımladı', 'kassam tugayları askerlerini keskin nişancı atışları ile hedef aldığı yeni bir video yayınladı']"
24,25,24_climate_jones_alex_fake,"['climate', 'jones', 'alex', 'fake', 'the', 'chemicals', 'chemtrails', 'about', 'jd', 'nick']","['alex jones has been vindicated on chemtrails the british government admitted last night to spraying chemicals from airplanes mixed with jet fuel to block the sun in the name of fighting global warming they are using the exact chemicals jones has warned about since', 'climate scam globalists are panicking jd vance just said what millions know but fear to say the climate crisis isn t about saving the planet it s about controlling the people', 'the climate scam is unraveling and the globalists are panicking vice president jd vance just said what millions know but fear to say the climate crisis isn t about saving the planet it s about controlling the people they shut down farms they ban gas']"
25,24,25_deprem_yapsak_yeniden_gürses,"['deprem', 'yapsak', 'yeniden', 'gürses', 'keşke', 'özlem', 'olsa', 'bir', 'evvel', 'büyük']","['özlem gürses ten skandal deprem açıklaması keşke büyük deprem bir an evvel olsa da u yeniden yapsak şu vizyona bakar mısınız', 'özlem gürses ten skandal açıklama keşke büyük deprem bir an evvel olsa da u yeniden yapsak', 'özlem gürses ten skandal deprem açıklaması keşke büyük deprem bir an evvel olsa da u yeniden yapsak']"
26,24,26_the_hillary_obama_clinton,"['the', 'hillary', 'obama', 'clinton', 'was', 'deep', 'bombshell', 'state', 'to', 'classified']","['holy crap pete hegseth was trying to have signal added to his personal computer in the pentagon this is a secured area and not allowed and he knew that how many people has he been sharing classified intel with and trying to hide it is he on russia s payroll too like tulsi', 'bombshell revelation dni tulsi gabbard has sent multiple criminal referrals to doj for treasonous leaking of classified intel the deep state is being exposed as they try to sabotage president trump from within this goes all the way to the top keep reading', 'bombshell raid was to cover for hillary clinton mike davis just dropped a nuclear truth bomb in his interview with lara logan the raid on wasn t about classified documents it was about protecting hillary clinton trump had declassified']"
27,22,27_kkkkkkkk_kkkkkkkkkkk_kkkkkkkkk_pqp,"['kkkkkkkk', 'kkkkkkkkkkk', 'kkkkkkkkk', 'pqp', 'renata', 'deve', 'gente', 'aqui', 'eu', 'vai']","['o bosco barroso de tutu e sapatilha em homenagem a renata campeã kkkkkkkkkkkkkkkkkk morrendo', 'morro q em tese a renata eliminou todos eles kkkkkkkk', 'kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk o alexandre de moraes deve se divertir muito fazendo essas coisas pqp ele deve ser mt resenha']"
28,20,28_kadının_mulher_sorusuna_kimlikte,"['kadının', 'mulher', 'sorusuna', 'kimlikte', 'yazan', 'verdiği', 'röportajında', 'ismi', 'yanıt', 'sokak']","['bir kadının sokak röportajında kimlikte yazan ismi nedir sorusuna verdiği yanıt şimdi sana bir küfür ederim', 'bir kadının sokak röportajında kimlikte yazan ismi nedir sorusuna utanmadan verdiği yanıt şimdi sana bir küfür ederim', 'bir kadının sokak röportajında kimlikte yazan ismi nedir sorusuna utanmadan verdiği yanıt şimdi sana bir küfür ederim']"
29,18,29_ali_تصور_bir_bu,"['ali', 'تصور', 'bir', 'bu', 'fenerbahçe', 'faço', 'bile', 'galatasaray', 'kötü', 'her']","['اس مخلوق کو اپنے پڑوسی کے طور پر تصور کریں اپنی کلاس میں اپنے دفتر میں تصور کریں کھانے کے میز پر پر ان کے ساتھ مصافحہ کرنا تصور کریں اب تصور کریں یہ آپ کے محلے کلاس اور دفتر میں اکثریت میں ہوں صرف تصور کر کے ہی میری طبیعت خراب ہو رہی ہے', 'anlatır mısınız sayın amına koyduklarım nazım rossi zajc ile şu topu oynatan adama nasıl burada kin kustunuz aylarca fenerbahçe nin başkanı illa bir gün değişir ancak bu taraftar profili değişmezse ali gider veli gelir fener yine rezil olur alın izleyin', 'ali koç bırakıyor da çevresi izin vermiyor aslında ali koç iyi de çevresi kötü yönlendiriyor bu söylemleri yemeyin bu söylemlere müsade etmeyin ali koç saf kötü düpedüz kötü karakter olarak ciddi sıkıntıları olan bir insan']"
30,17,30_schools_school_students_oklahoma,"['schools', 'school', 'students', 'oklahoma', 'federal', 'education', 'بک', 'vickie', 'andra', 'comply']","['i rinkeby får tre gånger så mycket elevpeng som barn i andra områden de har mindre klasser fler specialpedagoger elevcoacher trygghetsresurser språkstöd kulturtolkar hela arsenalen och ändå krävs mer resurser för dessa elever på bekostnad av andra en tråd', 'insane albany high school board of education member vickie smith says activists were invited onto campus to teach students how to evade ice cut off all federal funding and investigate everyone involved', 'breaking oklahoma said it will pull all federal funds from any school that does not comply with trump s order banning dei by thursday all oklahoma schools will comply or they will lose federal funds we are taking our schools back this is massive news']"
31,16,31_picture_veteran_brandon_president,"['picture', 'veteran', 'brandon', 'president', 'joe', 'go', 'biden', 'başkan', 'trump', 'başkanlığı']","['trump that picture there veteran a picture of joe biden and it says go brandon', 'president trump that picture veteran that s joe biden it says go brandon', 'watch president trump noticed a u s military veteran has a picture of joe biden on his prosthetic leg with the words let s go brandon trump whose that picture of there veteran that is joe biden and it says let s go brandon']"
32,16,32_europe_europeans_pays_nato,"['europe', 'europeans', 'pays', 'nato', 'they', 'as', 'invasion', 'yet', 'talk', 'countries']","['la france finance l algérie et les algériens à hauteur de milliards d euros quel pays au monde donnerait ne qu un seul euro à un pays qui lui est hostile nous sommes dirigés par des pervers', 'french pensioners are resorting to finding food in dumpsters our people have been sold out europe for the europeans please share this video to raise awareness about what s happening in europe', 'admin post as politicians talk the talk yet do nothing the invasion of europe is still in full swing all fighting age men all unvetted non detained all roaming our streets']"
33,15,33_thi_blah_tum_en,"['thi', 'blah', 'tum', 'en', 'june', 'sens', 'gaon', 'ho', 'issam', 'huma']","['door gaon me ek basti thi jaha r sasti thi unki gaand me itni masti thi jitna daalo utna hasti thi tum bhi bahut haste ho usi gaon k lagte ho', 'la conv wsh cv issam tu te sens comment eh jme sens ça djoo bien le sang rigole entre elles vous rigolez après violer hein c drôle explosent de rire rendors toi issam wallah on va voir jv vous envoyer le hamo spatial sendors', 'sbse bade madharchod wo log h jo begunah logon ki maut pe din se jokes bna rhe hain peshawar school attack pe bhi jokes bnaya tha kya tum bhadwo ne tum jaiso ka zameer saala mar chuka h may every laugh you guys had at someone pain come back to haunt you times']"
34,15,34_quem_vota_que_não,"['quem', 'vota', 'que', 'não', 'se', 'ele', 'suça', 'gideceği', 'kodes', 'bulaştı']","['olha gente o vocalista do ira que gritou sem anistia pra galera da direita tá arrependido coitadinho o que vocês acham da gente perdoar ele eu voto pra que não ele que se lasque', 'akp o kadar suça bulaştı ki seçimle gidemez çünkü seçimden sonra gideceği yer kodes ikinci şansı ve uzatmalı hayatı veren küçük ortağı mhp de en az akp kadar suça bulaştı çünkü en büyük suçlar bu ortaklık başladıktan sonra işlendi onun da gideceği yer kodes', 'quem vota no pt não vai deixar de gostar do lula ainda que ele corte o bolsa família e aposentadorias o escândalo do inss não vai fazer os eleitores dele o abandonarem quem vota no pt só tem dois objetivos destruir a própria vida e destruir a vida dos outros']"
35,15,35_çocukları_çocuğu_musa_çocuğunu,"['çocukları', 'çocuğu', 'musa', 'çocuğunu', 'öldürseniz', 'سؤر', 'sağ', 'mi', 'kalacak', 'elbet']","['senin allah belanı versin çocuğu olmayanları hiç mi düşünmedin ya da çocuğunu kaybedenleri', 'bütün çocukları öldürseniz de elbet bir musa sağ kalacak', 'bütün çocukları öldürseniz de elbet bir musa sağ kalacak']"
36,12,36_irish_ireland_streets_protest,"['irish', 'ireland', 'streets', 'protest', 'dublin', 'expected', 'mass', 'the', 'racist', 'immigration']","['wow tens of thousands of irish patriots are currently marching through the streets of dublin to demand an end to mass immigration i have never seen anything like this before in ireland the irish are finally waking up', 'thousands of irish people are expected to take to the streets of dublin tomorrow the irish are sick of mass immigration we want our country back', 'huge protest in ireland the irish are set to march tomorrow in protest of their sell out government destroying their country this is expected to be the largest protest seen across ireland with an expected patriots on the streets ireland belongs to the irish']"
37,11,37_हर_सब_पर_ahp,"['हर', 'सब', 'पर', 'ahp', 'annihilate', 'bsdk', 'फट', 'दल', 'writes', 'lindas']","['पर सब पर', 'पर इन मकसद एक bsdk हर', 'हर मगर हर']"
38,11,38_texas_cornyn_islamic_john,"['texas', 'cornyn', 'islamic', 'john', 'cair', 'praised', 'city', 'relief', 'plano', 'senator']","['alert texans need to ask john cornyn why are you backing the very networks islamizing texas while east plano islamic center pushes islamic enclaves like epic city cornyn praised their donors and empowered their expansion the facts in and cornyn praised', 'we figured out who s behind the texas push for an islam takeover texas senator john cornyn and cornyn praised islamic relief usa they are an organization giving money to epic city senator john cornyn islamic relief s promo video the real issue politicians', 'looks like we figured out who s behind the texas push for an islam takeover texas senator john cornyn and cornyn praised islamic relief usa they are an organization giving money to epic city senator john cornyn islamic relief s promo video']"
39,10,39_ji_what_ayrı_they,"['ji', 'what', 'ayrı', 'they', 'minister', 'terrorists', 'be', 'anymore', 'örgütü', 'terör']","['we are looking terrorists in the eye who are threatening tens of millions of us with death as they are developing nuclear weapons and are within weeks of succeeding is there any generation of americans before us that would not have dealt a deadly blow to such an enemy before', 'dear ji kindly order the army that no terrorist should be buried instead they should be cremated with pig fat most jihadis commit terror acts with the hope of jannat and hoors such actions will severely demoralise them they fear this more than bullets', 'they killed our people in cold blood this can t be forgiven these terrorists need to know we are not staying quiet we need to retaliate i request our prime minister ji home minister ji and defence minister ji to give them what they']"
